eval,pears,pears_p,spear,spear_p
fact_qqp-Natural,0.0762,0.1881,-0.0591,0.3072
fact_qqp-Maintains Context,0.0397,0.4936,0.0774,0.1813
fact_qqp-Engaging,0.14,0.0152,0.1365,0.018
fact_qqp-Uses Knowledge,0.2099,0.0003,0.4352,0.0
fact_qqp-Overall,0.1613,0.0051,0.223,0.0001
fact_rte-Understandable,-0.0296,0.6098,-0.0914,0.1142
fact_rte-Natural,0.0289,0.6181,0.0305,0.5993
fact_rte-Maintains Context,-0.0371,0.5225,-0.0041,0.944
fact_rte-Engaging,-0.1091,0.0591,-0.0726,0.21
fact_rte-Uses Knowledge,-0.4052,0.0,-0.3481,0.0
fact_rte-Overall,-0.1232,0.033,-0.1122,0.0522
fact_stsb-Understandable,0.025,0.666,0.0307,0.5961
fact_stsb-Natural,0.0302,0.6025,-0.0032,0.9555
fact_stsb-Maintains Context,0.1537,0.0077,0.0876,0.13
fact_stsb-Engaging,0.3419,0.0,0.3378,0.0
fact_stsb-Uses Knowledge,0.7329,0.0,0.7173,0.0
fact_stsb-Overall,0.3742,0.0,0.3898,0.0
lin-reg_pair-Understandable,0.1626,0.0047,0.1345,0.0198
lin-reg_pair-Natural,0.2033,0.0004,0.216,0.0002
lin-reg_pair-Maintains Context,0.4178,0.0,0.3981,0.0
lin-reg_pair-Engaging,0.2185,0.0001,0.2216,0.0001
lin-reg_pair-Uses Knowledge,0.1909,0.0009,0.1916,0.0009
lin-reg_pair-Overall,0.3975,0.0,0.3802,0.0
lin-reg_fact-Understandable,0.0255,0.6606,0.0328,0.572
lin-reg_fact-Natural,0.0546,0.3456,0.0319,0.5823
lin-reg_fact-Maintains Context,0.1783,0.0019,0.111,0.0548
lin-reg_fact-Engaging,0.3446,0.0,0.3412,0.0
lin-reg_fact-Uses Knowledge,0.6959,0.0,0.702,0.0
lin-reg_fact-Overall,0.399,0.0,0.4135,0.0
lin-reg_single-Understandable,0.0643,0.2668,0.0603,0.2978
lin-reg_single-Natural,-0.0285,0.6226,0.0302,0.6024
lin-reg_single-Maintains Context,0.0974,0.0922,0.1012,0.0801
lin-reg_single-Engaging,0.1675,0.0036,0.1597,0.0056
lin-reg_single-Uses Knowledge,0.0464,0.423,0.0644,0.2661
lin-reg_single-Overall,0.1216,0.0353,0.1263,0.0287
lin-reg_all-Understandable,0.1214,0.0355,0.1218,0.035
lin-reg_all-Natural,0.1728,0.0027,0.2044,0.0004
lin-reg_all-Maintains Context,0.4029,0.0,0.3707,0.0
lin-reg_all-Engaging,0.3272,0.0,0.3306,0.0
lin-reg_all-Uses Knowledge,0.5921,0.0,0.5898,0.0
lin-reg_all-Overall,0.529,0.0,0.5382,0.0
